SHARK_ID,DATE_CAP,MONTH_CAP,YEAR_CAP,MONTH_CAP_FRAC,YEAR_CAP_FRAC,DAYS_CAP,DATE_START,PAT_END,SPOT_END,DEPLOY_DAYS,PAT_MODEL,PAT_ID,PAT_PTT,SPOT_MODEL,SPOT_ID,SPOT_PTT,ACOUSTIC_ID,TAGS_NO,PAT_RECOVERY,DATA_TRANS,DATA_BINNED,DATA_TS,TBL_cm,SEX,FUNDING,POC,INTERACTION,CAPTURE_GEAR,TARGET_FISHERY,LOCATION_REL,LAT_REL,LON_REL,DIST_KM,LAT_END_PAT,LON_END_PAT,DIST_PAT,LAT_END_SPOT,LON_END_SPOT,DIST_SPOT,COMMENTS
02_01,7/2/01,7,2001,7.065708419,2001.543516,0,7/2/01,8/12/01,NA,41,PAT2,01P0061,18616,NA,NA,NA,NA,1,YES,NO,YES,NO,147,F,MBA,KW,research,"gillnet, general",NA,"Ormond Beach, California USA",34.08,-119.23,25.7471118,34.25,-119.42,25.7471118,NA,NA,NA,From Kevin Weng from Channel Islands Harbor
03_01,7/29/03,7,2003,7.952772074,2003.611752,0,7/29/03,9/30/03,NA,63,PAT2,02-657,3265,NA,NA,NA,NA,1,YES,NO,YES,NO,155,F,MBA,KW,research,"gillnet, general",NA,"Malibu, California USA",34.01,-118.77,34.46964362,33.85,-118.45,34.46964362,NA,NA,NA,"From Kevin Weng, tagged in Ventura, popped in Hermosa"
03_02,9/8/03,9,2003,9.262833676,2003.712526,0,9/8/03,11/7/03,NA,60,MK10,02-638,2994,NA,NA,NA,NA,1,NO,YES,YES,NO,156,M,MBA,KW,research,"gillnet, general",NA,"Long Beach, California USA",33.68,-118.23,688.1880531,28.49,-114.29,688.1880531,NA,NA,NA,"From kevin Weng, tagged in Long Beach, popped in Vizcanio"
03_03,10/20/03,10,2003,10.65708419,2003.819776,0,10/20/03,11/26/03,NA,37,PAT2,02-674,10565,NA,NA,NA,NA,1,YES,NO,YES,NO,155,M,MBA,KW,research,"gillnet, general",NA,"Port Hueneme, California USA",34.139797,-119.23,333.1179744,31.92,-116.83,333.1179744,NA,NA,NA,"From Kevin Weng, Tagged of Port Hueneme popped in Ensenada"
04_01,8/11/04,8,2004,8.361396304,2004.643184,0,8/11/04,1/25/05,NA,167,PAT4,04-139,52914,NA,NA,NA,NA,1,NO,YES,YES,NO,248,F,MBA,KW,research,"gillnet, general",NA,"Will Rogers Beach, California USA",34.03,-118.54,17.08239585,33.88,-118.5,17.08239585,NA,NA,NA,"From Kevin Weng, Tagged off Will Rogers, popped of El Segundo"
04_02,8/12/04,8,2004,8.657084189,2004.66593,8,8/20/04,2/10/05,NA,174,PAT4,04-140,52915,NA,NA,NA,NA,1,YES,NO,YES,NO,250,F,MBA,KW,research,"gillnet, general",NA,"Will Rogers Beach, California USA",34.03,-118.54,586.8909667,37.98,-122.87,586.8909667,NA,NA,NA,"From Kevin Weng, Tagged off Will Rogers, popped off Point Reyes"
05_01,3/31/05,3,2005,4.018480493,2005.309114,0,3/31/05,4/30/05,NA,30,PAT4,04-529,54567,NA,NA,NA,NA,1,YES,YES,YES,NO,184,F,MBA,KW,research,"gillnet, general",NA,"Pacific Grove, California, USA",36.66,-121.92,241.2840091,34.585,-121.139,241.2840091,NA,NA,NA,From Kevin Weng(?)
06_05,7/14/06,7,2006,7.459958932,2006.573843,0,7/14/06,NA,8/19/06,36,NA,NA,NA,SPOT5,06S0053,65865,NA,1,NA,YES,NA,NA,139.7,F,MBA,CW,"fishery, commercial","gillnet, drift",white sea bass,"Leadbetter Beach, California, USA",34.38,-119.667,37.49658351,NA,NA,NA,34.19100189,-119.3289948,37.49658351,Tracked until the 18 Aug
06_10,8/17/06,1,2007,1.492813142,2007.114832,151,1/15/07,4/15/07,NA,90,MK10,05A0376,40564,NA,NA,NA,NA,1,YES,YES,YES,NO,174,M,MBA,CW,research,hook and line,NA,"Pacific Grove, California, USA",36.654,-121.935,1961.410273,22.8901,-109.1577,1961.410273,NA,NA,NA,"Hook and Line Aquarium Shark, released off Mazatlan"
06_12,9/21/06,9,2006,9.689938398,2006.74538,0,9/21/06,NA,12/10/06,80,NA,NA,NA,SPOT5,06S0054,65866,NA,1,NA,YES,NA,NA,149,F,MBA,CW,"fishery, commercial","gillnet, general",white sea bass,"McGrath State Beach, California, USA",34.228,-119.334,137.66104,NA,NA,NA,33.57600021,-118.0659943,137.66104,Last Detected Dec 10 off Dana Point
